,0
0,140
1,142
2,938
3,771
4,423
5,954
6,667
7,565
8,811
9,967
10,119
11,149
12,640
13,694
14,798
15,428
16,901
17,309
18,356
19,325
20,456
21,201
22,162
23,842
24,130
25,458
26,485
27,500
28,675
29,767
30,520
31,407
32,625
33,333
34,255
35,924
36,538
37,81
38,330
39,386
40,800
41,121
42,1004
43,572
44,387
45,895
46,39
47,633
48,761
49,341
50,864
51,127
52,976
53,491
54,484
55,433
56,614
57,821
58,440
59,384
60,436
61,364
62,0
63,723
64,522
65,448
66,357
67,1010
68,777
69,243
70,720
71,936
72,242
73,669
74,430
75,69
76,903
77,285
78,132
79,527
80,60
81,449
82,26
83,275
84,706
85,867
86,971
87,554
88,700
89,256
90,442
91,93
92,61
93,563
94,916
95,207
96,782
97,382
98,368
99,770
