,ID,Model 2: pIC50 (SIRT2),Probability of SIRT2 activity,Probability of Model 3 SIRT2/1 selectivity,Probability of Model 4 SIRT2/3 selectivity
0,ID_0,0.5205285,0.9258155666470361,0.18585311178692873,0.00013299007
1,ID_1,0.5004342,0.9047749919712954,0.08710199813807203,0.8527175
2,ID_2,0.50084436,0.9001962695736213,0.05640715054192986,0.9321158
3,ID_3,0.52052474,0.8958495374008643,0.09220417425213494,0.001053539
4,ID_4,0.5123928,0.8903436148516827,0.08049607096128508,0.7547961
5,ID_5,0.508477,0.8876499261423052,0.13175426810603624,0.03398581
6,ID_6,0.5177586,0.8864838127409671,0.14893924952434526,0.24899828
7,ID_7,0.51198214,0.8839516865486471,0.030988276084449925,0.9982187
8,ID_8,0.48840085,0.8826265919660269,0.05010215039710304,1.9780705e-06
9,ID_9,0.48106155,0.8786417435183211,0.021476803071451448,2.6411776e-06
10,ID_10,0.52190244,0.8765579425074084,0.12165982043090261,1.1295036e-05
11,ID_11,0.5316264,0.8757149551808991,0.20395480477686886,0.00020707655
12,ID_12,0.51995367,0.8756876308239694,0.09782443433698504,0.96996194
13,ID_13,0.5172582,0.8726048335426357,0.091106171016482,0.9998204
14,ID_14,0.50835496,0.8700508685666188,0.09763470437883405,9.6276594e-08
15,ID_15,0.49175924,0.8699604519103928,0.08674696053280276,0.0061287433
16,ID_16,0.5233931,0.8698050395961769,0.16573783939494116,0.011160829
17,ID_17,0.5111413,0.8684349743066413,0.08574608311911351,0.89610124
18,ID_18,0.49492732,0.8647348435120217,0.0681362022337255,0.98281693
19,ID_19,0.48773402,0.8640410662774047,0.10847794145205172,0.9542873
20,ID_20,0.50566536,0.8639460554607685,0.13430777467521657,0.00030882613
21,ID_21,0.50832313,0.8629957062700553,0.10937863555324778,0.9332818
22,ID_22,0.4968784,0.8614250042539328,0.28002978769874204,3.6312078e-06
23,ID_23,0.48489588,0.8609458310974089,0.055708381801172616,2.4843226e-05
24,ID_24,0.5034587,0.8603926971683733,0.10649638367898473,0.030761298
25,ID_25,0.49298277,0.8595751886727575,0.13207720355607006,0.092920825
26,ID_26,0.5105048,0.8567050598642185,0.11702510360264726,0.20299198
27,ID_27,0.52708495,0.8566401026324818,0.13103545887294127,0.8635096
28,ID_28,0.49618864,0.8557286831638113,0.0967377537986965,0.033425216
29,ID_29,0.5197421,0.8534339013671515,0.16183435406625993,0.023746654
30,ID_30,0.5335127,0.8532847144536336,0.16059838298347867,0.9887939
31,ID_31,0.5013956,0.8520307759575511,0.09289978307558901,0.13456272
32,ID_32,0.5491255,0.850651385406721,0.2033122347405798,0.99711955
33,ID_33,0.48287362,0.8444582274477082,0.11300318584805857,0.96027213
34,ID_34,0.5015078,0.8440690557205831,0.06496166360116584,0.028938789
35,ID_35,0.57034224,0.7680281750637524,0.3105287804758483,0.98270965
36,ID_36,0.5385038,0.7739406231097705,0.3100942798436878,5.664669e-05
37,ID_37,0.51215196,0.7739176918044791,0.09158341260118999,0.00027448643
38,ID_38,0.4784344,0.7738347355633025,0.20672512202678436,0.9997969
39,ID_39,0.48513776,0.7737075049890865,0.23892512000398547,0.98702544
