ID,SMILES
CHEMBL7463,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21
CHEMBL69863,Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1
CHEMBL6291,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21
CHEMBL597845,CC(C(=O)Nc1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1
CHEMBL596657,O=c1nc2oc3ccc4ccccc4c3cc-2c(=O)n1-c1ccccc1
CHEMBL596656,CC(CSc1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1
CHEMBL596655,CC(NS(=O)(=O)c1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1
CHEMBL595354,CN(C)CCCCC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(C(C)(C)C)cc2)cc1
CHEMBL584353,CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1
CHEMBL578512,Cn1ncnc2c(=O)n(C)c(=O)nc1-2
CHEMBL575250,CCOC(=O)C1=CN(c2ccccc2)C=C(C(=O)OCC)C1c1ccccc1
CHEMBL574373,CCOC(=O)C1=CN(C2CC2)C=C(C(=O)OCC)C1c1ccccc1
CHEMBL570186,O=C1Nc2c(ccc(Cl)c2Cl)/C1=C/c1ccc(F)cc1
CHEMBL569449,O=C1Nc2c(ccc(Cl)c2Cl)/C1=C/c1cc(Br)c(O)c(Br)c1
CHEMBL569054,O=C1Nc2c(ccc(Cl)c2Cl)/C1=C/c1ccc([N+](=O)[O-])cc1
CHEMBL558854,COC(=O)/C=C/c1cccc(Nc2ccccc2C(N)=O)c1
CHEMBL549853,NC(=O)c1ccccc1Nc1cccc(Oc2ccccc2)c1
CHEMBL540468,NC(=O)c1ccccc1Nc1cccc(-c2ccccc2)c1
CHEMBL523988,CCCn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S
CHEMBL523676,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)N)[C@@H](C)O)C(=O)O
CHEMBL523656,O=C1Oc2ccc3ccccc3c2CC1C(=O)c1cccc(Cl)c1
CHEMBL522968,CCn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S
CHEMBL522620,CCCCn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S
CHEMBL521807,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@@H](N)CCCCN)C(=O)O
CHEMBL512966,CC(C)(C)c1ccc(-c2noc(C(=O)NNC(=S)Nc3cccc(C(F)(F)F)c3)n2)cc1
CHEMBL511318,Cc1ccc(C(=O)C2Cc3c(ccc4ccccc34)OC2=O)cc1
CHEMBL510904,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)C(=O)O
CHEMBL507676,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CO)[C@@H](C)O)C(=O)O
CHEMBL505399,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CO)[C@@H](C)O)C(=O)O
CHEMBL504711,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)N)C(=O)O
CHEMBL504310,CSCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)O
CHEMBL493159,CC(=S)NCCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CO)C(=O)N[C@H](C(=O)O)[C@@H](C)O
CHEMBL492925,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](C)NC(=O)[C@@H](N)CO)[C@@H](C)O)C(=O)O
CHEMBL492710,CSCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CO)[C@@H](C)O)C(=O)O
CHEMBL492308,CC(=S)NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)O
CHEMBL491960,O=c1[nH]c(=S)[nH]c(-c2ccccc2)c1Cc1c(O)ccc2ccccc12
CHEMBL491106,C=CCn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S
