,ID,SMILES,Model 1: SIRT2 inhibitory activity,Model 2: pIC50 (SIRT2),Model 3: SIRT1/2 selectivity,Model 4: SIRT2/3 selectivity,"Probability of Model 1 ""Yes"" class prediction",Probability of Model 3 SIRT1/2 nonselective prediction,Probability of Model 3 SIRT2/1 selectivity,Probability of Model 3 SIRT1/2 inactivity,Probability of Model 4 SIRT2/3 nonselective prediction,Probability of Model 4 SIRT2/3 selectivity,Probability of SIRT2/3 inactivity
0,ID_0,O=C1NC(=S)NC(=O)C1=Cc1ccc(OCc2ccc(Cl)cc2)cc1,Yes,5.205285,SIRT1/2 nonselective,SIRT2/3 nonselective,0.9258155666470361,0.7133142235313318,0.18585311178692873,0.10083266468173951,0.9998661,0.00013299007,7.8530536e-07
1,ID_1,Cc1cc(-c2ccc(C=C3C(=O)NC(=S)NC3=O)o2)ccc1[N+](=O)[O-],Yes,5.004342,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.9047749919712954,0.7637810192937462,0.08710199813807203,0.1491169825681819,0.1447102,0.8527175,0.0025722557
2,ID_2,O=C1NC(=S)NC(=O)C1=Cc1ccc(-c2ccc(Cl)c(Cl)c2)o1,Yes,5.008444,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.9001962695736213,0.7911801824810236,0.05640715054192986,0.15241266697704664,0.0678585,0.9321158,2.5645115e-05
3,ID_3,COc1cc(C=C2C(=O)NC(=S)NC2=O)ccc1OCc1cccs1,Yes,5.2052474,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8958495374008643,0.8011540333722581,0.09220417425213494,0.1066417923756081,0.99893147,0.001053539,1.497972e-05
4,ID_4,Cc1ccc(-c2ccc(C=C3C(=O)NC(=S)NC3=O)o2)cc1Cl,Yes,5.123928,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.8903436148516827,0.7534543279150158,0.08049607096128508,0.1660496011236995,0.24519123,0.7547961,1.2660862e-05
5,ID_5,O=C1NC(=S)NC(=O)C1=Cc1ccc(OCc2ccc(C(=O)O)cc2)c(Cl)c1,Yes,5.0847697,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8876499261423052,0.7041370378801776,0.13175426810603624,0.16410869401378658,0.9659651,0.03398581,4.909738e-05
6,ID_6,O=C1NC(=S)NC(=O)C1=Cc1ccc(OCc2ccc(Cl)cc2)c(Cl)c1,Yes,5.177586,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8864838127409671,0.7259371376216239,0.14893924952434526,0.1251236128540311,0.75097686,0.24899828,2.484736e-05
7,ID_7,O=C1NC(=S)NC(=O)C1=Cc1ccc(-c2ccccc2Cl)o1,Yes,5.1198215,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.8839516865486471,0.8889893461662339,0.030988276084449925,0.08002237774931634,0.0017777471,0.9982187,3.6174515e-06
8,ID_8,COc1cc(C=C2C(=O)NC(=S)NC2=O)ccc1O,Yes,4.8840084,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8826265919660269,0.8456951972299355,0.05010215039710304,0.10420265237296182,0.99975854,1.9780705e-06,0.000239484
9,ID_9,O=C1NC(=S)NC(=O)C1=Cc1cc(I)c(O)c(I)c1,Yes,4.8106155,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8786417435183211,0.8636310320045751,0.021476803071451448,0.11489216492397332,0.9999974,2.6411776e-06,7.177485e-10
10,ID_10,COc1cc(C=C2C(=O)NC(=S)NC2=O)ccc1OCc1ccc(Cl)cc1Cl,Yes,5.219024,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8765579425074084,0.7584395924066748,0.12165982043090261,0.1199005871624233,0.99998796,1.1295036e-05,7.441696e-07
11,ID_11,Cc1cccc(C)c1OCCOc1ccc(C=C2C(=O)NC(=S)NC2=O)cc1,Yes,5.316264,SIRT1/2 nonselective,SIRT2/3 nonselective,0.8757149551808991,0.6913285735056836,0.20395480477686886,0.10471662171744767,0.9848043,0.00020707655,0.014988622
12,ID_12,C=CCOc1ccc(C=C2C(=O)NC(=S)NC2=O)cc1OCC,Yes,5.199537,SIRT1/2 nonselective,Selective for SIRT2 over SIRT3,0.8756876308239694,0.7820014065485672,0.09782443433698504,0.12017415911444815,0.02908694,0.96996194,0.0009511254
