,ID,SMILES,Model 1: SIRT2 inhibitory activity,"Probability of Model 1 ""Yes"" class prediction"
0,108584,Cc1cc(Cl)ccc1OCC(=O)Nc1ccc(N(C)C)cc1,No,0.33252065216022325
1,108585,Cc1c(NC(=O)c2cc(-c3ccc(Br)cc3)nc3ccccc23)c(=O)n(-c2ccccc2)n1C,No,0.4877696956991219
2,108586,COC(=O)c1ccc(C(=O)OC)c(NC(=O)c2c(Cl)cnn2C)c1,No,0.3080180196899015
3,108587,Cc1occc1C(=O)Nc1cc(Cl)cc(Cl)c1,No,0.23104069517268974
4,108588,CCc1ccc(/N=C2\S/C(=C\c3cc(Cl)cc(OC)c3O)C(=O)N2c2ccc(CC)cc2)cc1,Yes,0.5148476877286142
5,108589,Cc1nc(SCC(=O)c2ccccc2)c(C#N)c(C)c1CC(=O)c1ccc(Br)cc1,No,0.344980394181759
6,108590,Cc1cccc(-c2cc(C(=O)N3CCN(C)CC3)c3ccccc3n2)c1,No,0.3633672095532284
7,108591,CCOc1c(I)cc(/C=C2/N=C(c3cc(F)c(F)cc3Cl)OC2=O)cc1OC,No,0.4904721435440542
8,108592,CCc1ccccc1/N=C1\S/C(=C\c2ccccc2Cl)C(=O)N1c1ccccc1CC,No,0.4435557818634891
9,108593,Cc1cccc(-c2cc(C(=O)Nc3nc(-c4ccc(Cl)cc4)cs3)c3ccccc3n2)c1,No,0.3689641769602373
10,108594,O=C(O)C1CCCCC1C(=O)Nc1nccs1,No,0.39909569655104044
11,108595,Cc1ccccc1COc1c(I)cc(/C=C2/N=C(c3ccc(Cl)cc3)OC2=O)cc1I,No,0.4891695148086245
12,108596,Cc1ccc(-c2cc(C(=O)N3CCN(C(c4ccccc4)c4ccccc4)CC3)c3ccccc3n2)cc1C,No,0.3968287017797725
13,108597,COc1cc(/C=C2/N=C(c3cc(F)c(F)cc3Cl)OC2=O)cc(Br)c1OCc1ccccc1,Yes,0.5710398343558074
14,108598,COc1cc(/C=C2/N=C(c3ccc(C)c([N+](=O)[O-])c3)OC2=O)cc(I)c1OCc1ccccc1,Yes,0.6011709498873224
15,108599,CCCCCCCNC(=O)c1cc(-c2cccc(OC)c2)nc2ccccc12,No,0.3945035185962933
16,108600,NC(=O)c1c(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)sc2c1CCCCC2,No,0.4306962120140229
17,108601,CCc1cccc(CC)c1NC(=O)c1cc(-c2ccc(C)o2)nc2ccccc12,No,0.4072269128566959
18,108602,CCc1ccc(-c2cc(C(=O)Nc3ccc(C(C)C)cc3)c3ccccc3n2)cc1,No,0.3950304729464098
19,108603,COc1ccc(C(=O)Nc2sc3c(c2C(=O)OC(C)C)CCCCC3)cc1OC,No,0.3697720223124782
20,108604,COC(=O)c1ccccc1NC(=O)c1cc(-c2ccc(C)cc2C)nc2ccccc12,No,0.4073817370434126
21,108605,O=[N+]([O-])c1cccc(C2C3CC=CC3c3cc([N+](=O)[O-])cc4c3N2CC2CC=CC42)c1,No,0.48699043318820545
22,108606,CCc1c(C)sc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)c1C(=O)OC,No,0.36278230227459
23,108607,CCc1ccc(/N=C2\S/C(=C\c3cc(C)ccc3C)C(=O)N2c2ccc(CC)cc2)cc1,No,0.45899904725331964
24,108608,CCc1nnc(NC(=O)CCC2CCCCC2)s1,No,0.4064406540839993
25,108609,Cc1ccc(-c2cc(C(=O)NC(C)c3ccccc3)c3ccccc3n2)cc1C,No,0.36404910408621505
26,108610,CCOc1c(Br)cc(/C=C2/N=C(c3ccc(Cl)cc3Cl)OC2=O)cc1OC,No,0.4856837103260727
27,108611,O=C(Nc1nc(-c2ccc(Br)cc2)cs1)C1c2ccccc2Oc2ccccc21,No,0.2485852090976936
28,108612,COc1cc(/C=C2/N=C(c3ccc(F)cc3)OC2=O)cc(Br)c1OCc1ccccc1,Yes,0.5594235078150567
29,108613,CCOc1ccc(NC(=O)c2cc(-c3ccc(C)s3)nc3ccccc23)cc1,No,0.4652532695971152
30,108614,N#Cc1c(NC(=O)c2cc(-c3ccc(Cl)s3)nc3ccccc23)sc2c1CCCCC2,No,0.4439766197827419
